Date ,Rank 1,Rank 2,Rank 3
08/26/2022,Whatsapp,Instagram,Netflix
08/27/2022,Whatsapp,Instagram,Chrome
08/28/2022,Whatsapp,Instagram,WeChat
08/29/2022,Whatsapp,Chrome,WeChat
08/30/2022,Whatsapp,LinkedIn,Chrome
08/31/2022,Whatsapp,Zoom,WeChat
09/01/2022,Instagram,Whatsapp,Spotify
09/02/2022,Whatsapp,WeChat,Instagram
09/03/2022,Facebook,YouTube,Instagram
09/04/2022,Instagram,Gallery,YouTube
09/05/2022,Whatsapp,Instagram,Chrome
09/06/2022,Whatsapp,WeChat,Instagram
09/07/2022,Whatsapp,Instagram,Gmail
09/08/2022,Instagram,Whatsapp,Linkedin
09/09/2022,Whatsapp,Maps,Instagram
09/10/2022,Whatsapp,Instagram,Maps
09/11/2022,Whatsapp,Instagram,WeChat
09/12/2022,Whatsapp,Instagram,WeChat
09/13/2022,Whatsapp,Zoom,Instagram
09/14/2022,Whatsapp,Gallery,Gmail
09/15/2022,Whatsapp,Zoom,Chrome
09/16/2022,Whatsapp,Zoom,WeChat
09/17/2022,Whatsapp,Spotify,Chrome
09/18/2022,Whatsapp,WeChat,Maps
09/19/2022,Whatsapp,Spotify,WeChat
09/20/2022,Zoom,Whatsapp,WeChat
09/21/2022,Whatsapp,WeChat,Hulu